start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
1,Car,12,Engine,21.29,424
2,Car,53,Engine,16.91,523
3,Car,50,Engine,22.01,411
4,Car,17,Engine,16.69,533
4,Car,12,Engine,20.78,427
5,Car,50,Engine,25.47,347
6,Car,33,Engine,20.54,436
7,Car,36,Engine,37.05,242
8,Car,48,Engine,19,469
9,Car,50,Engine,16.92,519
10,Car,45,Engine,20.68,433
10,Car,33,Engine,24.31,367
11,Car,33,Engine,26,341
12,Car,50,Engine,20.21,441
13,Car,4,Engine,34.98,254
14,Car,14,Engine,23.29,380.5
15,Car,33,Engine,27.44,322
16,Car,33,Engine,29.51,299
17,Car,61,Engine,19.79,449
18,Car,10,Engine,18.89,470
19,Car,16,Engine,15.52,585
20,Car,54,Engine,17.99,492
21,Car,17,Engine,16.87,526
21,Car,12,Engine,18.7,475
22,Car,48,Engine,21.59,408
23,Car,33,Engine,24.94,356
24,Car,46,Engine,21.03,423
24,Car,33,Engine,22,404
25,Car,33,Engine,26.91,327
26,Car,10,Engine,23.43,379
27,Car,50,Engine,20,443
28,Car,22,Engine,19.56,452.5
28,Car,10,Engine,21,423
29,Car,33,Engine,23.67,373
30,Car,14,Engine,22.48,394
31,Car,33,Engine,28.06,314
32,Car,14,Engine,25.92,341
33,Car,36,Engine,36.61,245
34,Car,50,Engine,26.34,335
35,Car,54,Engine,15.55,569
36,Car,32,Engine,19.42,525
36,Car,12,Engine,17.34,529
37,Car,52,Engine,15.68,562
38,Car,34,Engine,24.77,359
38,Car,22,Engine,18.1,489.5
39,Car,4,Engine,22.17,404
39,Car,6,Engine,25.56,347
40,Car,50,Engine,22,462
40,Car,19,Engine,15.82,561.5
40,Car,16,Engine,16.6,541.5
41,Car,49,Engine,17.14,516
42,Car,5,Engine,43,208
43,Car,44,Engine,21.98,404
44,Car,53,Engine,14.99,586
45,Car,6,Engine,39,225
46,Car,50,Engine,21.86,406
47,Car,33,Engine,20.51,430
48,Car,33,Engine,25.55,346
49,Car,40,Engine,25.93,345
50,Car,33,Engine,23,386
50,Car,12,Engine,21.2,419
51,Car,40,Engine,23.75,377
51,Car,4,Engine,24.27,366
52,Car,33,Engine,28.8,307
53,Car,4,Engine,28.28,314.5
54,Car,53,Engine,16.91,522
55,Car,33,Engine,21.9,406
55,Car,12,Engine,20.05,443
56,Car,50,Engine,23.43,377
57,Car,6,Engine,32.42,283
58,Car,47,Engine,15.55,573
59,Car,50,Engine,23.5,375
60,Car,12,Engine,18.9,471
61,Car,29,Engine,31.67,278.5
62,Car,16,Engine,15.91,559.5
63,Car,50,Engine,20.14,444.5
63,Car,34,Engine,22.68,395.5
64,Car,14,Engine,21.22,423
65,Car,35,Engine,26,338
66,Car,59,Engine,10.59,840
67,Car,48,Engine,20,441
68,Car,33,Engine,19.42,453
69,Car,5,Engine,33.06,269
70,Car,33,Engine,24.38,362.5
71,Car,52,Engine,15.75,560
72,Car,6,Engine,33.05,267
72,Car,8,Engine,32.9,269
73,Car,29,Engine,31,288
74,Car,40,Engine,23.88,375
74,Car,4,Engine,23.5,378
75,Car,28,Engine,18.45,481
76,Car,50,Engine,22,462
76,Car,19,Engine,15.82,561.5
76,Car,16,Engine,16.6,541.5
77,Car,20,Engine,17.23,517
78,Car,50,Engine,20.92,422
79,Car,50,Engine,26.42,333
80,Car,6,Engine,33.17,266
81,Car,6,Engine,31.35,287
82,Car,15,Engine,19.43,458
83,Car,14,Engine,21.77,407
84,Car,36,Engine,27.03,331
84,Car,6,Engine,28.54,314
85,Car,33,Engine,23.22,385.5
86,Car,50,Engine,20,443
87,Car,33,Engine,22.89,387
88,Car,4,Engine,28.09,318
89,Car,33,Engine,25.94,342
90,Car,33,Engine,26.82,330
91,Car,50,Engine,24.45,361
92,Car,50,Engine,24.61,360
93,Car,50,Engine,24.52,360
94,Car,47,Engine,14.13,632
95,Car,54,Engine,17.66,505
96,Car,37,Engine,25,357.5
97,Car,61,Engine,20.91,427
98,Car,50,Engine,26.29,387
98,Car,41,Engine,20.19,441
98,Car,16,Engine,17.53,507
99,Car,33,Engine,22.41,398
100,Car,8,Engine,30.25,292
101,Car,14,Engine,22.92,386
102,Car,14,Engine,21.99,407
103,Car,28,Engine,15.58,569
104,Car,25,Engine,19.43,455
105,Car,33,Engine,25.33,358
105,Car,12,Engine,21.97,405
106,Car,3,Engine,32.69,272
107,Car,53,Engine,17.68,505
108,Car,6,Engine,33.14,269
