start_id,start_vertex_type,end_id,end_vertex_type,gears
18,Car,9,Transmission,10
718,Car,9,Transmission,10
712,Car,9,Transmission,10
294,Car,9,Transmission,10
141,Car,9,Transmission,10
551,Car,9,Transmission,10
528,Car,9,Transmission,10
259,Car,9,Transmission,10
119,Car,9,Transmission,10
38,Car,9,Transmission,10
562,Car,9,Transmission,10
346,Car,9,Transmission,10
334,Car,9,Transmission,10
76,Car,9,Transmission,10
63,Car,9,Transmission,10
62,Car,9,Transmission,10
508,Car,9,Transmission,10
40,Car,9,Transmission,10
98,Car,9,Transmission,10
757,Car,9,Transmission,10
572,Car,9,Transmission,10
262,Car,9,Transmission,10
674,Car,9,Transmission,10
416,Car,9,Transmission,10
281,Car,9,Transmission,10
19,Car,9,Transmission,10
119,Car,18,Transmission,6
757,Car,18,Transmission,6
282,Car,18,Transmission,6
36,Car,18,Transmission,6
346,Car,18,Transmission,6
808,Car,18,Transmission,6
721,Car,18,Transmission,6
98,Car,18,Transmission,6
647,Car,18,Transmission,6
141,Car,18,Transmission,6
562,Car,18,Transmission,6
258,Car,18,Transmission,6
749,Car,18,Transmission,6
316,Car,18,Transmission,6
135,Car,2,Transmission,7
326,Car,13,Transmission,8
71,Car,13,Transmission,8
280,Car,13,Transmission,8
620,Car,13,Transmission,8
62,Car,13,Transmission,8
98,Car,13,Transmission,8
176,Car,13,Transmission,8
141,Car,13,Transmission,8
551,Car,13,Transmission,8
562,Car,13,Transmission,8
674,Car,13,Transmission,8
757,Car,13,Transmission,8
544,Car,13,Transmission,8
325,Car,13,Transmission,8
36,Car,13,Transmission,8
795,Car,13,Transmission,8
124,Car,13,Transmission,8
448,Car,13,Transmission,8
748,Car,13,Transmission,8
278,Car,13,Transmission,8
164,Car,13,Transmission,8
589,Car,13,Transmission,8
666,Car,13,Transmission,8
117,Car,13,Transmission,8
4,Car,13,Transmission,8
791,Car,13,Transmission,8
431,Car,13,Transmission,8
677,Car,13,Transmission,8
749,Car,13,Transmission,8
373,Car,13,Transmission,8
651,Car,13,Transmission,8
542,Car,13,Transmission,8
557,Car,13,Transmission,8
397,Car,13,Transmission,8
85,Car,13,Transmission,8
24,Car,13,Transmission,8
282,Car,13,Transmission,8
443,Car,13,Transmission,8
663,Car,13,Transmission,8
469,Car,13,Transmission,8
580,Car,13,Transmission,8
564,Car,13,Transmission,8
89,Car,13,Transmission,8
112,Car,13,Transmission,8
211,Car,13,Transmission,8
676,Car,13,Transmission,8
777,Car,13,Transmission,8
23,Car,13,Transmission,8
575,Car,13,Transmission,8
37,Car,13,Transmission,8
645,Car,13,Transmission,8
427,Car,13,Transmission,8
341,Car,13,Transmission,8
739,Car,13,Transmission,8
128,Car,13,Transmission,8
333,Car,13,Transmission,8
316,Car,13,Transmission,8
646,Car,13,Transmission,8
187,Car,13,Transmission,8
586,Car,13,Transmission,8
649,Car,13,Transmission,8
495,Car,13,Transmission,8
814,Car,13,Transmission,8
698,Car,13,Transmission,8
248,Car,13,Transmission,8
605,Car,13,Transmission,8
371,Car,13,Transmission,8
690,Car,13,Transmission,8
664,Car,13,Transmission,8
604,Car,13,Transmission,8
60,Car,13,Transmission,8
155,Car,13,Transmission,8
336,Car,13,Transmission,8
808,Car,13,Transmission,8
21,Car,13,Transmission,8
545,Car,13,Transmission,8
119,Car,13,Transmission,8
19,Car,13,Transmission,8
346,Car,13,Transmission,8
675,Car,16,Transmission,9
144,Car,16,Transmission,9
500,Car,16,Transmission,9
92,Car,16,Transmission,9
175,Car,16,Transmission,9
686,Car,16,Transmission,9
271,Car,16,Transmission,9
609,Car,16,Transmission,9
506,Car,16,Transmission,9
302,Car,16,Transmission,9
365,Car,16,Transmission,9
127,Car,16,Transmission,9
181,Car,16,Transmission,9
407,Car,16,Transmission,9
619,Car,16,Transmission,9
680,Car,16,Transmission,9
581,Car,16,Transmission,9
414,Car,16,Transmission,9
349,Car,16,Transmission,9
246,Car,16,Transmission,9
610,Car,16,Transmission,9
590,Car,16,Transmission,9
595,Car,16,Transmission,9
105,Car,16,Transmission,9
168,Car,16,Transmission,9
366,Car,16,Transmission,9
244,Car,16,Transmission,9
492,Car,16,Transmission,9
68,Car,16,Transmission,9
47,Car,16,Transmission,9
210,Car,16,Transmission,9
405,Car,16,Transmission,9
298,Car,16,Transmission,9
46,Car,16,Transmission,9
226,Car,16,Transmission,9
196,Car,16,Transmission,9
817,Car,16,Transmission,9
343,Car,16,Transmission,9
355,Car,16,Transmission,9
388,Car,16,Transmission,9
440,Car,16,Transmission,9
104,Car,16,Transmission,9
289,Car,16,Transmission,9
249,Car,16,Transmission,9
810,Car,16,Transmission,9
205,Car,16,Transmission,9
794,Car,16,Transmission,9
805,Car,16,Transmission,9
167,Car,16,Transmission,9
460,Car,16,Transmission,9
357,Car,16,Transmission,9
458,Car,16,Transmission,9
462,Car,16,Transmission,9
172,Car,16,Transmission,9
661,Car,16,Transmission,9
323,Car,16,Transmission,9
319,Car,16,Transmission,9
20,Car,16,Transmission,9
317,Car,16,Transmission,9
220,Car,16,Transmission,9
378,Car,16,Transmission,9
767,Car,16,Transmission,9
479,Car,16,Transmission,9
29,Car,16,Transmission,9
113,Car,16,Transmission,9
596,Car,16,Transmission,9
639,Car,16,Transmission,9
90,Car,16,Transmission,9
670,Car,16,Transmission,9
477,Car,16,Transmission,9
35,Car,16,Transmission,9
792,Car,16,Transmission,9
1,Car,16,Transmission,9
673,Car,16,Transmission,9
209,Car,16,Transmission,9
394,Car,16,Transmission,9
771,Car,16,Transmission,9
251,Car,16,Transmission,9
33,Car,3,Transmission,6
191,Car,3,Transmission,6
734,Car,3,Transmission,6
465,Car,3,Transmission,6
381,Car,3,Transmission,6
727,Car,3,Transmission,6
599,Car,3,Transmission,6
7,Car,3,Transmission,6
688,Car,3,Transmission,6
822,Car,3,Transmission,6
267,Car,3,Transmission,6
342,Car,3,Transmission,6
404,Car,3,Transmission,6
110,Car,3,Transmission,6
42,Car,3,Transmission,6
644,Car,5,Transmission,7
159,Car,5,Transmission,7
250,Car,5,Transmission,7
390,Car,5,Transmission,7
640,Car,5,Transmission,7
472,Car,5,Transmission,7
626,Car,5,Transmission,7
223,Car,5,Transmission,7
558,Car,5,Transmission,7
87,Car,5,Transmission,7
740,Car,5,Transmission,7
588,Car,5,Transmission,7
95,Car,5,Transmission,7
525,Car,5,Transmission,7
401,Car,5,Transmission,7
438,Car,5,Transmission,7
719,Car,5,Transmission,7
218,Car,5,Transmission,7
531,Car,5,Transmission,7
798,Car,5,Transmission,7
52,Car,5,Transmission,7
566,Car,5,Transmission,7
412,Car,5,Transmission,7
130,Car,5,Transmission,7
429,Car,5,Transmission,7
56,Car,5,Transmission,7
116,Car,5,Transmission,7
91,Car,5,Transmission,7
770,Car,5,Transmission,7
384,Car,5,Transmission,7
606,Car,5,Transmission,7
61,Car,5,Transmission,7
231,Car,5,Transmission,7
752,Car,5,Transmission,7
816,Car,5,Transmission,7
229,Car,5,Transmission,7
600,Car,5,Transmission,7
208,Car,5,Transmission,7
497,Car,5,Transmission,7
66,Car,5,Transmission,7
184,Car,5,Transmission,7
360,Car,5,Transmission,7
784,Car,5,Transmission,7
700,Car,5,Transmission,7
561,Car,5,Transmission,7
464,Car,5,Transmission,7
583,Car,5,Transmission,7
293,Car,5,Transmission,7
714,Car,5,Transmission,7
733,Car,5,Transmission,7
163,Car,5,Transmission,7
672,Car,5,Transmission,7
228,Car,5,Transmission,7
434,Car,5,Transmission,7
260,Car,5,Transmission,7
422,Car,5,Transmission,7
741,Car,5,Transmission,7
622,Car,5,Transmission,7
114,Car,5,Transmission,7
819,Car,5,Transmission,7
264,Car,5,Transmission,7
631,Car,5,Transmission,7
667,Car,5,Transmission,7
567,Car,5,Transmission,7
84,Car,5,Transmission,7
612,Car,5,Transmission,7
48,Car,5,Transmission,7
413,Car,5,Transmission,7
118,Car,5,Transmission,7
