start_id,start_vertex_type,end_id,end_vertex_type,gears
1,Transmission,50,Engine,7
1,Transmission,34,Engine,7
2,Transmission,35,Engine,7
3,Transmission,36,Engine,6
3,Transmission,6,Engine,6
3,Transmission,5,Engine,6
4,Transmission,3,Engine,5
4,Transmission,1,Engine,5
4,Transmission,6,Engine,5
4,Transmission,5,Engine,5
5,Transmission,24,Engine,7
5,Transmission,48,Engine,7
5,Transmission,33,Engine,7
5,Transmission,29,Engine,7
5,Transmission,40,Engine,7
5,Transmission,59,Engine,7
5,Transmission,42,Engine,7
5,Transmission,50,Engine,7
5,Transmission,36,Engine,7
5,Transmission,11,Engine,7
5,Transmission,54,Engine,7
5,Transmission,27,Engine,7
5,Transmission,23,Engine,7
6,Transmission,33,Engine,8
6,Transmission,51,Engine,8
7,Transmission,33,Engine,8
7,Transmission,40,Engine,8
7,Transmission,50,Engine,8
7,Transmission,58,Engine,8
7,Transmission,2,Engine,8
7,Transmission,49,Engine,8
7,Transmission,48,Engine,8
7,Transmission,54,Engine,8
8,Transmission,17,Engine,6
8,Transmission,39,Engine,6
8,Transmission,33,Engine,6
8,Transmission,40,Engine,6
8,Transmission,6,Engine,6
8,Transmission,2,Engine,6
8,Transmission,14,Engine,6
8,Transmission,4,Engine,6
8,Transmission,21,Engine,6
8,Transmission,9,Engine,6
9,Transmission,16,Engine,10
9,Transmission,19,Engine,10
9,Transmission,10,Engine,10
9,Transmission,34,Engine,10
9,Transmission,50,Engine,10
10,Transmission,41,Engine,10
10,Transmission,43,Engine,10
10,Transmission,12,Engine,10
10,Transmission,34,Engine,10
10,Transmission,14,Engine,10
10,Transmission,26,Engine,10
10,Transmission,47,Engine,10
10,Transmission,19,Engine,10
10,Transmission,46,Engine,10
10,Transmission,22,Engine,10
10,Transmission,10,Engine,10
10,Transmission,44,Engine,10
10,Transmission,50,Engine,10
10,Transmission,33,Engine,10
11,Transmission,6,Engine,1
11,Transmission,5,Engine,1
12,Transmission,31,Engine,1
12,Transmission,3,Engine,1
12,Transmission,30,Engine,1
12,Transmission,7,Engine,1
12,Transmission,35,Engine,1
12,Transmission,6,Engine,1
12,Transmission,5,Engine,1
12,Transmission,4,Engine,1
12,Transmission,1,Engine,1
12,Transmission,8,Engine,1
13,Transmission,52,Engine,8
13,Transmission,50,Engine,8
13,Transmission,17,Engine,8
13,Transmission,48,Engine,8
13,Transmission,35,Engine,8
13,Transmission,26,Engine,8
13,Transmission,16,Engine,8
13,Transmission,12,Engine,8
13,Transmission,41,Engine,8
13,Transmission,33,Engine,8
13,Transmission,18,Engine,8
13,Transmission,54,Engine,8
13,Transmission,29,Engine,8
14,Transmission,20,Engine,7
14,Transmission,50,Engine,7
15,Transmission,47,Engine,9
16,Transmission,31,Engine,9
16,Transmission,58,Engine,9
16,Transmission,54,Engine,9
16,Transmission,33,Engine,9
16,Transmission,50,Engine,9
16,Transmission,25,Engine,9
16,Transmission,13,Engine,9
16,Transmission,35,Engine,9
16,Transmission,2,Engine,9
16,Transmission,12,Engine,9
16,Transmission,38,Engine,9
17,Transmission,11,Engine,5
18,Transmission,4,Engine,6
18,Transmission,16,Engine,6
18,Transmission,32,Engine,6
18,Transmission,35,Engine,6
18,Transmission,2,Engine,6
19,Transmission,4,Engine,6
19,Transmission,14,Engine,6
19,Transmission,2,Engine,6
19,Transmission,6,Engine,6
20,Transmission,4,Engine,8
20,Transmission,29,Engine,8
20,Transmission,35,Engine,8
20,Transmission,33,Engine,8
20,Transmission,6,Engine,8
20,Transmission,37,Engine,8
21,Transmission,15,Engine,9
21,Transmission,14,Engine,9
21,Transmission,20,Engine,9
21,Transmission,33,Engine,9
21,Transmission,12,Engine,9
22,Transmission,8,Engine,6
22,Transmission,26,Engine,6
22,Transmission,43,Engine,6
22,Transmission,2,Engine,6
22,Transmission,19,Engine,6
22,Transmission,33,Engine,6
22,Transmission,18,Engine,6
22,Transmission,34,Engine,6
22,Transmission,6,Engine,6
22,Transmission,29,Engine,6
22,Transmission,50,Engine,6
22,Transmission,11,Engine,6
22,Transmission,14,Engine,6
22,Transmission,12,Engine,6
22,Transmission,36,Engine,6
22,Transmission,37,Engine,6
22,Transmission,22,Engine,6
22,Transmission,17,Engine,6
22,Transmission,40,Engine,6
22,Transmission,4,Engine,6
22,Transmission,35,Engine,6
23,Transmission,6,Engine,10
23,Transmission,14,Engine,10
24,Transmission,47,Engine,7
24,Transmission,51,Engine,7
24,Transmission,33,Engine,7
24,Transmission,24,Engine,7
25,Transmission,55,Engine,8
25,Transmission,15,Engine,8
25,Transmission,6,Engine,8
25,Transmission,54,Engine,8
25,Transmission,48,Engine,8
25,Transmission,58,Engine,8
25,Transmission,50,Engine,8
25,Transmission,40,Engine,8
25,Transmission,47,Engine,8
25,Transmission,45,Engine,8
25,Transmission,14,Engine,8
25,Transmission,28,Engine,8
25,Transmission,37,Engine,8
25,Transmission,56,Engine,8
25,Transmission,22,Engine,8
25,Transmission,53,Engine,8
25,Transmission,19,Engine,8
25,Transmission,36,Engine,8
25,Transmission,29,Engine,8
25,Transmission,34,Engine,8
25,Transmission,33,Engine,8
25,Transmission,60,Engine,8
25,Transmission,35,Engine,8
25,Transmission,4,Engine,8
25,Transmission,61,Engine,8
25,Transmission,46,Engine,8
25,Transmission,12,Engine,8
25,Transmission,57,Engine,8
26,Transmission,35,Engine,7
26,Transmission,6,Engine,7
26,Transmission,14,Engine,7
26,Transmission,4,Engine,7
26,Transmission,8,Engine,7
