id,name,no_cyl,eng_displ
1,NA,3,1.2
2,NA,4,2.4
3,NA,4,1.4
4,NA,4,2.5
5,NA,4,1.6
6,NA,4,2
7,NA,4,1.5
8,NA,4,1.8
9,NA,4,2.7
10,NA,6,3.3
11,NA,6,4
12,NA,6,3.6
13,NA,6,3.2
14,NA,6,3.5
15,NA,6,3.8
16,NA,8,5.3
17,NA,8,5.7
18,NA,8,6.4
19,NA,8,6.2
20,NA,8,5.6
21,NA,8,4.6
22,NA,8,5
23,NA,10,5.2
24,NA,12,6.5
25,OT,6,3
26,SC,8,6.2
27,SC,8,5.2
28,SC,8,5
29,TC,3,1.5
30,TC,3,1.2
31,TC,3,1.3
32,TC,4,2.8
33,TC,4,2
34,TC,4,2.3
35,TC,4,1.5
36,TC,4,1.6
37,TC,4,2.4
38,TC,4,1.3
39,TC,4,1.4
40,TC,4,2.5
41,TC,4,2.7
42,TC,5,2.5
43,TC,6,3.6
44,TC,6,3.4
45,TC,6,3.3
46,TC,6,2.7
47,TC,6,3.5
48,TC,6,2.9
49,TC,6,3.7
50,TC,6,3
51,TC,8,3.9
52,TC,8,3.8
53,TC,8,4.4
54,TC,8,4
55,TC,12,5.2
56,TC,12,6.7
57,TC,12,6.6
58,TC,12,6
59,TC,16,8
60,TS,4,2
61,TS,6,3
