start_id,start_vertex_type,end_id,end_vertex_type,gears
1,vt_mfr,24,vt_transmission,7
1,vt_mfr,16,vt_transmission,9
1,vt_mfr,6,vt_transmission,8
2,vt_mfr,26,vt_transmission,7
2,vt_mfr,22,vt_transmission,6
2,vt_mfr,21,vt_transmission,9
2,vt_mfr,15,vt_transmission,9
2,vt_mfr,12,vt_transmission,1
2,vt_mfr,10,vt_transmission,10
2,vt_mfr,7,vt_transmission,8
3,vt_mfr,5,vt_transmission,7
4,vt_mfr,25,vt_transmission,8
4,vt_mfr,24,vt_transmission,7
4,vt_mfr,22,vt_transmission,6
4,vt_mfr,13,vt_transmission,8
4,vt_mfr,8,vt_transmission,6
4,vt_mfr,7,vt_transmission,8
4,vt_mfr,5,vt_transmission,7
4,vt_mfr,2,vt_transmission,7
5,vt_mfr,25,vt_transmission,8
5,vt_mfr,22,vt_transmission,6
5,vt_mfr,21,vt_transmission,9
5,vt_mfr,18,vt_transmission,6
5,vt_mfr,16,vt_transmission,9
5,vt_mfr,13,vt_transmission,8
5,vt_mfr,12,vt_transmission,1
5,vt_mfr,10,vt_transmission,10
5,vt_mfr,9,vt_transmission,10
5,vt_mfr,8,vt_transmission,6
5,vt_mfr,4,vt_transmission,5
6,vt_mfr,25,vt_transmission,8
7,vt_mfr,26,vt_transmission,7
7,vt_mfr,21,vt_transmission,9
7,vt_mfr,20,vt_transmission,8
7,vt_mfr,14,vt_transmission,7
7,vt_mfr,12,vt_transmission,1
7,vt_mfr,4,vt_transmission,5
8,vt_mfr,25,vt_transmission,8
8,vt_mfr,13,vt_transmission,8
9,vt_mfr,25,vt_transmission,8
9,vt_mfr,22,vt_transmission,6
9,vt_mfr,11,vt_transmission,1
9,vt_mfr,7,vt_transmission,8
9,vt_mfr,5,vt_transmission,7
9,vt_mfr,3,vt_transmission,6
10,vt_mfr,22,vt_transmission,6
10,vt_mfr,8,vt_transmission,6
11,vt_mfr,22,vt_transmission,6
11,vt_mfr,18,vt_transmission,6
11,vt_mfr,16,vt_transmission,9
11,vt_mfr,13,vt_transmission,8
12,vt_mfr,26,vt_transmission,7
12,vt_mfr,22,vt_transmission,6
12,vt_mfr,20,vt_transmission,8
12,vt_mfr,8,vt_transmission,6
12,vt_mfr,4,vt_transmission,5
13,vt_mfr,25,vt_transmission,8
13,vt_mfr,22,vt_transmission,6
13,vt_mfr,5,vt_transmission,7
14,vt_mfr,25,vt_transmission,8
14,vt_mfr,16,vt_transmission,9
14,vt_mfr,13,vt_transmission,8
15,vt_mfr,25,vt_transmission,8
15,vt_mfr,22,vt_transmission,6
15,vt_mfr,7,vt_transmission,8
15,vt_mfr,5,vt_transmission,7
15,vt_mfr,1,vt_transmission,7
16,vt_mfr,20,vt_transmission,8
16,vt_mfr,19,vt_transmission,6
16,vt_mfr,12,vt_transmission,1
16,vt_mfr,4,vt_transmission,5
17,vt_mfr,24,vt_transmission,7
17,vt_mfr,6,vt_transmission,8
18,vt_mfr,25,vt_transmission,8
18,vt_mfr,21,vt_transmission,9
19,vt_mfr,25,vt_transmission,8
20,vt_mfr,25,vt_transmission,8
20,vt_mfr,24,vt_transmission,7
20,vt_mfr,22,vt_transmission,6
20,vt_mfr,13,vt_transmission,8
20,vt_mfr,12,vt_transmission,1
20,vt_mfr,10,vt_transmission,10
20,vt_mfr,9,vt_transmission,10
20,vt_mfr,8,vt_transmission,6
20,vt_mfr,5,vt_transmission,7
20,vt_mfr,1,vt_transmission,7
21,vt_mfr,26,vt_transmission,7
21,vt_mfr,25,vt_transmission,8
21,vt_mfr,23,vt_transmission,10
21,vt_mfr,22,vt_transmission,6
21,vt_mfr,19,vt_transmission,6
21,vt_mfr,17,vt_transmission,5
21,vt_mfr,12,vt_transmission,1
21,vt_mfr,10,vt_transmission,10
21,vt_mfr,8,vt_transmission,6
22,vt_mfr,25,vt_transmission,8
22,vt_mfr,22,vt_transmission,6
22,vt_mfr,20,vt_transmission,8
22,vt_mfr,12,vt_transmission,1
22,vt_mfr,11,vt_transmission,1
22,vt_mfr,8,vt_transmission,6
22,vt_mfr,7,vt_transmission,8
22,vt_mfr,5,vt_transmission,7
22,vt_mfr,3,vt_transmission,6
