start_id,start_vertex_type,end_id,end_vertex_type,bytes,packets,attackdate,daytime
559071,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5441087962962963
569777,vt_ip,50302,vt_ip,    2718,25,2017-03-17,0.5441898148148148
569769,vt_ip,50302,vt_ip,    3486,34,2017-03-17,0.5441087962962963
569025,vt_ip,50302,vt_ip,    2974,28,2017-03-17,0.5428240740740741
569803,vt_ip,50302,vt_ip,    3743,37,2017-03-17,0.5445138888888889
569769,vt_ip,50302,vt_ip,    3486,34,2017-03-17,0.5441087962962963
569025,vt_ip,50302,vt_ip,    2974,28,2017-03-17,0.5428240740740741
569777,vt_ip,50302,vt_ip,    2718,25,2017-03-17,0.5441898148148148
569803,vt_ip,50302,vt_ip,    3743,37,2017-03-17,0.5445138888888889
558327,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5428240740740741
558327,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5428240740740741
559105,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5445138888888889
559079,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5441898148148148
559071,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5441087962962963
559079,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5441898148148148
559105,vt_ip,48511,vt_ip,    1704,13,2017-03-17,0.5445138888888889
582412,vt_ip,54368,vt_ip,     140,2,2017-03-20,0.40554398148148146
582792,vt_ip,54368,vt_ip,      66,1,2017-03-20,0.408125
582792,vt_ip,54368,vt_ip,    1802,12,2017-03-20,0.40806712962962965
582794,vt_ip,54368,vt_ip,     140,2,2017-03-20,0.40806712962962965
583024,vt_ip,54368,vt_ip,    2856,27,2017-03-20,0.4085185185185185
583024,vt_ip,54368,vt_ip,      66,1,2017-03-20,0.40857638888888886
583210,vt_ip,54368,vt_ip,     697,5,2017-03-20,0.4088541666666667
583250,vt_ip,54368,vt_ip,    3551,38,2017-03-20,0.40921296296296295
582420,vt_ip,54368,vt_ip,      66,1,2017-03-20,0.40585648148148146
582420,vt_ip,54368,vt_ip,     856,7,2017-03-20,0.4057986111111111
582414,vt_ip,54368,vt_ip,     132,2,2017-03-20,0.4056134259259259
582412,vt_ip,54368,vt_ip,     132,2,2017-03-20,0.4056134259259259
582408,vt_ip,54368,vt_ip,      66,1,2017-03-20,0.4056018518518518
582410,vt_ip,54368,vt_ip,      66,1,2017-03-20,0.4056018518518518
582794,vt_ip,54368,vt_ip,     132,2,2017-03-20,0.408125
582410,vt_ip,54368,vt_ip,     594,4,2017-03-20,0.40554398148148146
582414,vt_ip,54368,vt_ip,     140,2,2017-03-20,0.40554398148148146
582408,vt_ip,54368,vt_ip,    2775,16,2017-03-20,0.40554398148148146
582368,vt_ip,54368,vt_ip,     132,2,2017-03-20,0.40546296296296297
585942,vt_ip,54368,vt_ip,    1420,10,2017-03-20,0.41032407407407406
