start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
1,vt_mfr,25,vt_engine,21.73,410.13
1,vt_mfr,33,vt_engine,24.42,366.22
1,vt_mfr,50,vt_engine,22.93,389.21
1,vt_mfr,54,vt_engine,16.7,533.33
1,vt_mfr,58,vt_engine,14.81,599
2,vt_mfr,7,vt_engine,49.98,177
2,vt_mfr,8,vt_engine,29.34,302.25
2,vt_mfr,6,vt_engine,36.2,249.63
2,vt_mfr,2,vt_engine,27.92,316
2,vt_mfr,14,vt_engine,21.8,411.56
2,vt_mfr,35,vt_engine,32.46,274
2,vt_mfr,33,vt_engine,24.16,368
2,vt_mfr,50,vt_engine,20.62,438.33
2,vt_mfr,47,vt_engine,21,420
3,vt_mfr,54,vt_engine,17.15,519.75
4,vt_mfr,12,vt_engine,19.96,445.75
4,vt_mfr,23,vt_engine,15.59,570.5
4,vt_mfr,24,vt_engine,10.98,797
4,vt_mfr,35,vt_engine,32.18,278.4
4,vt_mfr,33,vt_engine,26.09,342.58
4,vt_mfr,42,vt_engine,23.14,380
4,vt_mfr,48,vt_engine,21.12,419.25
4,vt_mfr,50,vt_engine,22.74,390.5
4,vt_mfr,54,vt_engine,17.08,521.18
4,vt_mfr,58,vt_engine,14.36,615.75
4,vt_mfr,59,vt_engine,9.54,932.67
5,vt_mfr,3,vt_engine,32.83,270.75
5,vt_mfr,4,vt_engine,21.06,422
5,vt_mfr,12,vt_engine,20.65,433.63
5,vt_mfr,16,vt_engine,16.36,546.89
5,vt_mfr,19,vt_engine,16.19,551.18
5,vt_mfr,26,vt_engine,15.69,565.75
5,vt_mfr,30,vt_engine,30.06,296
5,vt_mfr,31,vt_engine,29.05,305.75
5,vt_mfr,39,vt_engine,26.5,335.5
5,vt_mfr,35,vt_engine,28.08,318.4
5,vt_mfr,33,vt_engine,24.08,370.91
5,vt_mfr,41,vt_engine,20.13,447.57
5,vt_mfr,32,vt_engine,22.18,461
5,vt_mfr,50,vt_engine,22.71,438.33
5,vt_mfr,43,vt_engine,18.38,483
6,vt_mfr,33,vt_engine,25.65,346.11
6,vt_mfr,60,vt_engine,24.1,367.75
7,vt_mfr,5,vt_engine,32.7,273
7,vt_mfr,6,vt_engine,30.14,300
7,vt_mfr,4,vt_engine,29.46,304.57
7,vt_mfr,14,vt_engine,22.79,389.5
7,vt_mfr,15,vt_engine,19.71,451
7,vt_mfr,20,vt_engine,16.1,556.33
7,vt_mfr,29,vt_engine,31.82,281
7,vt_mfr,33,vt_engine,26.21,347.25
7,vt_mfr,50,vt_engine,22.05,405
8,vt_mfr,50,vt_engine,18.97,465.11
8,vt_mfr,52,vt_engine,15.72,561
9,vt_mfr,5,vt_engine,47.69,198.83
9,vt_mfr,6,vt_engine,38.66,240.67
9,vt_mfr,4,vt_engine,26.56,340.88
9,vt_mfr,15,vt_engine,21.57,416.5
9,vt_mfr,22,vt_engine,18.47,484.5
9,vt_mfr,36,vt_engine,32.22,280.44
9,vt_mfr,33,vt_engine,23.62,379.57
9,vt_mfr,40,vt_engine,23.93,375.4
9,vt_mfr,45,vt_engine,19.93,449.75
9,vt_mfr,47,vt_engine,20.44,438.33
10,vt_mfr,6,vt_engine,29.92,297
10,vt_mfr,4,vt_engine,27.7,320.86
10,vt_mfr,40,vt_engine,24.93,357.2
11,vt_mfr,2,vt_engine,24.69,360.8
11,vt_mfr,13,vt_engine,21.95,406.33
11,vt_mfr,12,vt_engine,21.04,424.07
11,vt_mfr,17,vt_engine,17.85,499.81
11,vt_mfr,18,vt_engine,16.46,543
11,vt_mfr,26,vt_engine,14.94,598.67
11,vt_mfr,38,vt_engine,25.92,351
11,vt_mfr,33,vt_engine,24.62,363.38
11,vt_mfr,48,vt_engine,19.73,449.5
11,vt_mfr,50,vt_engine,22.91,440.22
12,vt_mfr,6,vt_engine,28.46,313.56
12,vt_mfr,2,vt_engine,23.46,380
12,vt_mfr,4,vt_engine,28.63,310.6
12,vt_mfr,37,vt_engine,23.48,380.14
13,vt_mfr,29,vt_engine,30.59,289.63
13,vt_mfr,33,vt_engine,27.28,324.56
