start_id,start_vertex_type,end_id,end_vertex_type,rating,time,str_time
5443,vt_rater,1091,vt_rater,4,1289241912,2010-11-09 3:45
5443,vt_rater,4368,vt_rater,2,1289241942,2010-11-09 3:45
1,vt_rater,542,vt_rater,1,1289243140,2010-11-09 4:05
3276,vt_rater,2183,vt_rater,7,1289245277,2010-11-09 4:41
325,vt_rater,651,vt_rater,8,1289254254,2010-11-09 7:10
325,vt_rater,2,vt_rater,8,1289254301,2010-11-09 7:11
5557,vt_rater,4368,vt_rater,1,1289362700,2010-11-10 13:18
1091,vt_rater,1202,vt_rater,5,1289370557,2010-11-10 15:29
1091,vt_rater,1092,vt_rater,5,1289370622,2010-11-10 15:30
1202,vt_rater,1091,vt_rater,5,1289380982,2010-11-10 18:23
1202,vt_rater,1,vt_rater,8,1289441411,2010-11-11 11:10
1202,vt_rater,2,vt_rater,8,1289441438,2010-11-11 11:10
1202,vt_rater,5667,vt_rater,9,1289441451,2010-11-11 11:10
1202,vt_rater,2183,vt_rater,7,1289441526,2010-11-11 11:12
760,vt_rater,2183,vt_rater,5,1289442313,2010-11-11 11:25
760,vt_rater,1421,vt_rater,1,1289489668,2010-11-12 0:34
2,vt_rater,1,vt_rater,8,1289555656,2010-11-12 18:54
2,vt_rater,5443,vt_rater,7,1289555731,2010-11-12 18:55
2,vt_rater,1202,vt_rater,8,1289555746,2010-11-12 18:55
2,vt_rater,5667,vt_rater,1,1289555768,2010-11-12 18:56
2,vt_rater,1639,vt_rater,10,1289555842,2010-11-12 18:57
2,vt_rater,1091,vt_rater,7,1289555871,2010-11-12 18:57
2,vt_rater,2183,vt_rater,7,1289555876,2010-11-12 18:57
3276,vt_rater,1747,vt_rater,1,1289641694,2010-11-13 18:48
1747,vt_rater,3276,vt_rater,1,1289641704,2010-11-13 18:48
4368,vt_rater,1,vt_rater,3,1289660299,2010-11-13 23:58
4368,vt_rater,5443,vt_rater,3,1289660319,2010-11-13 23:58
4368,vt_rater,5557,vt_rater,1,1289660347,2010-11-13 23:59
1,vt_rater,4368,vt_rater,4,1289710643,2010-11-14 13:57
5443,vt_rater,3276,vt_rater,2,1289770700,2010-11-15 6:38
