start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
1,Mfr,58,Engine,14.81,599
1,Mfr,54,Engine,16.7,533.33
1,Mfr,50,Engine,22.93,389.21
1,Mfr,33,Engine,24.42,366.22
1,Mfr,25,Engine,21.73,410.13
2,Mfr,47,Engine,21,420
2,Mfr,50,Engine,20.62,438.33
2,Mfr,33,Engine,24.16,368
2,Mfr,35,Engine,32.46,274
2,Mfr,14,Engine,21.8,411.56
2,Mfr,2,Engine,27.92,316
2,Mfr,6,Engine,36.2,249.63
2,Mfr,8,Engine,29.34,302.25
2,Mfr,7,Engine,49.98,177
3,Mfr,54,Engine,17.15,519.75
4,Mfr,59,Engine,9.54,932.67
4,Mfr,58,Engine,14.36,615.75
4,Mfr,54,Engine,17.08,521.18
4,Mfr,50,Engine,22.74,390.5
4,Mfr,48,Engine,21.12,419.25
4,Mfr,42,Engine,23.14,380
4,Mfr,33,Engine,26.09,342.58
4,Mfr,35,Engine,32.18,278.4
4,Mfr,24,Engine,10.98,797
4,Mfr,23,Engine,15.59,570.5
4,Mfr,12,Engine,19.96,445.75
5,Mfr,43,Engine,18.38,483
5,Mfr,50,Engine,22.71,438.33
5,Mfr,32,Engine,22.18,461
5,Mfr,41,Engine,20.13,447.57
5,Mfr,33,Engine,24.08,370.91
5,Mfr,35,Engine,28.08,318.4
5,Mfr,39,Engine,26.5,335.5
5,Mfr,31,Engine,29.05,305.75
5,Mfr,30,Engine,30.06,296
5,Mfr,26,Engine,15.69,565.75
5,Mfr,19,Engine,16.19,551.18
5,Mfr,16,Engine,16.36,546.89
5,Mfr,12,Engine,20.65,433.63
5,Mfr,4,Engine,21.06,422
5,Mfr,3,Engine,32.83,270.75
6,Mfr,60,Engine,24.1,367.75
6,Mfr,33,Engine,25.65,346.11
7,Mfr,50,Engine,22.05,405
7,Mfr,33,Engine,26.21,347.25
7,Mfr,29,Engine,31.82,281
7,Mfr,20,Engine,16.1,556.33
7,Mfr,15,Engine,19.71,451
7,Mfr,14,Engine,22.79,389.5
7,Mfr,4,Engine,29.46,304.57
7,Mfr,6,Engine,30.14,300
7,Mfr,5,Engine,32.7,273
8,Mfr,52,Engine,15.72,561
8,Mfr,50,Engine,18.97,465.11
9,Mfr,47,Engine,20.44,438.33
9,Mfr,45,Engine,19.93,449.75
9,Mfr,40,Engine,23.93,375.4
9,Mfr,33,Engine,23.62,379.57
9,Mfr,36,Engine,32.22,280.44
9,Mfr,22,Engine,18.47,484.5
9,Mfr,15,Engine,21.57,416.5
9,Mfr,4,Engine,26.56,340.88
9,Mfr,6,Engine,38.66,240.67
9,Mfr,5,Engine,47.69,198.83
10,Mfr,40,Engine,24.93,357.2
10,Mfr,4,Engine,27.7,320.86
10,Mfr,6,Engine,29.92,297
11,Mfr,50,Engine,22.91,440.22
11,Mfr,48,Engine,19.73,449.5
11,Mfr,33,Engine,24.62,363.38
11,Mfr,38,Engine,25.92,351
11,Mfr,26,Engine,14.94,598.67
11,Mfr,18,Engine,16.46,543
11,Mfr,17,Engine,17.85,499.81
11,Mfr,12,Engine,21.04,424.07
11,Mfr,13,Engine,21.95,406.33
11,Mfr,2,Engine,24.69,360.8
12,Mfr,37,Engine,23.48,380.14
12,Mfr,4,Engine,28.63,310.6
12,Mfr,2,Engine,23.46,380
12,Mfr,6,Engine,28.46,313.56
13,Mfr,57,Engine,15.53,570
13,Mfr,53,Engine,17.58,506.33
13,Mfr,50,Engine,22.59,399.51
13,Mfr,33,Engine,27.28,324.56
13,Mfr,29,Engine,30.59,289.63
14,Mfr,55,Engine,17.03,522
14,Mfr,54,Engine,18.98,474
15,Mfr,54,Engine,16.68,532.75
15,Mfr,49,Engine,17.14,520.5
15,Mfr,50,Engine,19.8,451.37
15,Mfr,48,Engine,19.2,462.45
15,Mfr,40,Engine,21.29,416.5
15,Mfr,33,Engine,22.75,390
15,Mfr,11,Engine,18.67,480.17
16,Mfr,35,Engine,26.12,337.25
16,Mfr,2,Engine,25.11,353.5
16,Mfr,6,Engine,26.1,337.5
16,Mfr,1,Engine,36.94,239
17,Mfr,51,Engine,17.43,509
17,Mfr,24,Engine,13.41,658.5
18,Mfr,61,Engine,20.7,431.07
18,Mfr,53,Engine,17.68,506.5
18,Mfr,33,Engine,22.68,398.23
18,Mfr,28,Engine,17.63,507.53
19,Mfr,56,Engine,14.26,619.71
20,Mfr,47,Engine,18.37,495.1
20,Mfr,50,Engine,19.66,458
20,Mfr,46,Engine,19.66,456.5
20,Mfr,34,Engine,21.41,421.03
20,Mfr,33,Engine,23.76,375.75
20,Mfr,29,Engine,28.1,317.67
20,Mfr,27,Engine,14.09,631
20,Mfr,22,Engine,18.37,484.33
20,Mfr,14,Engine,16.15,550.5
20,Mfr,10,Engine,23.01,391.86
20,Mfr,4,Engine,30.73,313.67
20,Mfr,6,Engine,25.3,351
21,Mfr,44,Engine,20.15,442.5
21,Mfr,37,Engine,25,357.5
21,Mfr,33,Engine,24.76,356
21,Mfr,17,Engine,14.64,611
21,Mfr,22,Engine,18.91,468
21,Mfr,21,Engine,16.27,542
21,Mfr,11,Engine,17.18,512.33
21,Mfr,14,Engine,23.52,382.61
21,Mfr,9,Engine,20.57,432
21,Mfr,4,Engine,34.69,263.81
21,Mfr,2,Engine,23.55,378
21,Mfr,6,Engine,33.49,266.36
21,Mfr,8,Engine,43.81,212.71
22,Mfr,45,Engine,20.17,444
22,Mfr,40,Engine,24.87,360.8
22,Mfr,33,Engine,22.17,406.5
22,Mfr,36,Engine,30.53,296.44
22,Mfr,15,Engine,21.65,412
22,Mfr,14,Engine,21.99,407
22,Mfr,4,Engine,25.22,354
22,Mfr,2,Engine,24.43,369.5
22,Mfr,6,Engine,31.5,285.33
22,Mfr,5,Engine,44.44,205
