start_id,start_vertex_type,end_id,end_vertex_type,gears
20,Mfr,1,Transmission,7
15,Mfr,1,Transmission,7
4,Mfr,2,Transmission,7
22,Mfr,3,Transmission,6
9,Mfr,3,Transmission,6
16,Mfr,4,Transmission,5
12,Mfr,4,Transmission,5
7,Mfr,4,Transmission,5
5,Mfr,4,Transmission,5
22,Mfr,5,Transmission,7
20,Mfr,5,Transmission,7
15,Mfr,5,Transmission,7
13,Mfr,5,Transmission,7
9,Mfr,5,Transmission,7
4,Mfr,5,Transmission,7
3,Mfr,5,Transmission,7
17,Mfr,6,Transmission,8
1,Mfr,6,Transmission,8
22,Mfr,7,Transmission,8
15,Mfr,7,Transmission,8
9,Mfr,7,Transmission,8
4,Mfr,7,Transmission,8
2,Mfr,7,Transmission,8
22,Mfr,8,Transmission,6
21,Mfr,8,Transmission,6
20,Mfr,8,Transmission,6
12,Mfr,8,Transmission,6
10,Mfr,8,Transmission,6
5,Mfr,8,Transmission,6
4,Mfr,8,Transmission,6
20,Mfr,9,Transmission,10
5,Mfr,9,Transmission,10
21,Mfr,10,Transmission,10
20,Mfr,10,Transmission,10
5,Mfr,10,Transmission,10
2,Mfr,10,Transmission,10
22,Mfr,11,Transmission,1
9,Mfr,11,Transmission,1
22,Mfr,12,Transmission,1
21,Mfr,12,Transmission,1
20,Mfr,12,Transmission,1
16,Mfr,12,Transmission,1
7,Mfr,12,Transmission,1
5,Mfr,12,Transmission,1
2,Mfr,12,Transmission,1
20,Mfr,13,Transmission,8
14,Mfr,13,Transmission,8
11,Mfr,13,Transmission,8
8,Mfr,13,Transmission,8
5,Mfr,13,Transmission,8
4,Mfr,13,Transmission,8
7,Mfr,14,Transmission,7
2,Mfr,15,Transmission,9
14,Mfr,16,Transmission,9
11,Mfr,16,Transmission,9
5,Mfr,16,Transmission,9
1,Mfr,16,Transmission,9
21,Mfr,17,Transmission,5
11,Mfr,18,Transmission,6
5,Mfr,18,Transmission,6
21,Mfr,19,Transmission,6
16,Mfr,19,Transmission,6
22,Mfr,20,Transmission,8
16,Mfr,20,Transmission,8
12,Mfr,20,Transmission,8
7,Mfr,20,Transmission,8
18,Mfr,21,Transmission,9
7,Mfr,21,Transmission,9
5,Mfr,21,Transmission,9
2,Mfr,21,Transmission,9
22,Mfr,22,Transmission,6
21,Mfr,22,Transmission,6
20,Mfr,22,Transmission,6
15,Mfr,22,Transmission,6
13,Mfr,22,Transmission,6
12,Mfr,22,Transmission,6
11,Mfr,22,Transmission,6
10,Mfr,22,Transmission,6
9,Mfr,22,Transmission,6
5,Mfr,22,Transmission,6
4,Mfr,22,Transmission,6
2,Mfr,22,Transmission,6
21,Mfr,23,Transmission,10
20,Mfr,24,Transmission,7
17,Mfr,24,Transmission,7
4,Mfr,24,Transmission,7
1,Mfr,24,Transmission,7
22,Mfr,25,Transmission,8
21,Mfr,25,Transmission,8
20,Mfr,25,Transmission,8
19,Mfr,25,Transmission,8
18,Mfr,25,Transmission,8
15,Mfr,25,Transmission,8
14,Mfr,25,Transmission,8
13,Mfr,25,Transmission,8
9,Mfr,25,Transmission,8
8,Mfr,25,Transmission,8
6,Mfr,25,Transmission,8
5,Mfr,25,Transmission,8
4,Mfr,25,Transmission,8
21,Mfr,26,Transmission,7
12,Mfr,26,Transmission,7
7,Mfr,26,Transmission,7
2,Mfr,26,Transmission,7
