start_id,start_vertex_type,end_id,end_vertex_type,gears
1,vt_transmission,50,vt_engine,7
1,vt_transmission,34,vt_engine,7
2,vt_transmission,35,vt_engine,7
3,vt_transmission,36,vt_engine,6
3,vt_transmission,6,vt_engine,6
3,vt_transmission,5,vt_engine,6
4,vt_transmission,3,vt_engine,5
4,vt_transmission,1,vt_engine,5
4,vt_transmission,6,vt_engine,5
4,vt_transmission,5,vt_engine,5
5,vt_transmission,24,vt_engine,7
5,vt_transmission,48,vt_engine,7
5,vt_transmission,33,vt_engine,7
5,vt_transmission,29,vt_engine,7
5,vt_transmission,40,vt_engine,7
5,vt_transmission,59,vt_engine,7
5,vt_transmission,42,vt_engine,7
5,vt_transmission,50,vt_engine,7
5,vt_transmission,36,vt_engine,7
5,vt_transmission,11,vt_engine,7
5,vt_transmission,54,vt_engine,7
5,vt_transmission,27,vt_engine,7
5,vt_transmission,23,vt_engine,7
6,vt_transmission,33,vt_engine,8
6,vt_transmission,51,vt_engine,8
7,vt_transmission,33,vt_engine,8
7,vt_transmission,40,vt_engine,8
7,vt_transmission,50,vt_engine,8
7,vt_transmission,58,vt_engine,8
7,vt_transmission,2,vt_engine,8
7,vt_transmission,49,vt_engine,8
7,vt_transmission,48,vt_engine,8
7,vt_transmission,54,vt_engine,8
8,vt_transmission,17,vt_engine,6
8,vt_transmission,39,vt_engine,6
8,vt_transmission,33,vt_engine,6
8,vt_transmission,40,vt_engine,6
8,vt_transmission,6,vt_engine,6
8,vt_transmission,2,vt_engine,6
8,vt_transmission,14,vt_engine,6
8,vt_transmission,4,vt_engine,6
8,vt_transmission,21,vt_engine,6
8,vt_transmission,9,vt_engine,6
9,vt_transmission,16,vt_engine,10
9,vt_transmission,19,vt_engine,10
9,vt_transmission,10,vt_engine,10
9,vt_transmission,34,vt_engine,10
9,vt_transmission,50,vt_engine,10
10,vt_transmission,41,vt_engine,10
10,vt_transmission,43,vt_engine,10
10,vt_transmission,12,vt_engine,10
10,vt_transmission,34,vt_engine,10
10,vt_transmission,14,vt_engine,10
10,vt_transmission,26,vt_engine,10
10,vt_transmission,47,vt_engine,10
10,vt_transmission,19,vt_engine,10
10,vt_transmission,46,vt_engine,10
10,vt_transmission,22,vt_engine,10
10,vt_transmission,10,vt_engine,10
10,vt_transmission,44,vt_engine,10
10,vt_transmission,50,vt_engine,10
10,vt_transmission,33,vt_engine,10
11,vt_transmission,6,vt_engine,1
11,vt_transmission,5,vt_engine,1
12,vt_transmission,31,vt_engine,1
12,vt_transmission,3,vt_engine,1
12,vt_transmission,30,vt_engine,1
12,vt_transmission,7,vt_engine,1
12,vt_transmission,35,vt_engine,1
12,vt_transmission,6,vt_engine,1
12,vt_transmission,5,vt_engine,1
12,vt_transmission,4,vt_engine,1
12,vt_transmission,1,vt_engine,1
12,vt_transmission,8,vt_engine,1
13,vt_transmission,52,vt_engine,8
13,vt_transmission,50,vt_engine,8
13,vt_transmission,17,vt_engine,8
13,vt_transmission,48,vt_engine,8
13,vt_transmission,35,vt_engine,8
13,vt_transmission,26,vt_engine,8
13,vt_transmission,16,vt_engine,8
13,vt_transmission,12,vt_engine,8
13,vt_transmission,41,vt_engine,8
13,vt_transmission,33,vt_engine,8
13,vt_transmission,18,vt_engine,8
13,vt_transmission,54,vt_engine,8
13,vt_transmission,29,vt_engine,8
14,vt_transmission,20,vt_engine,7
14,vt_transmission,50,vt_engine,7
15,vt_transmission,47,vt_engine,9
16,vt_transmission,31,vt_engine,9
16,vt_transmission,58,vt_engine,9
16,vt_transmission,54,vt_engine,9
16,vt_transmission,33,vt_engine,9
16,vt_transmission,50,vt_engine,9
16,vt_transmission,25,vt_engine,9
16,vt_transmission,13,vt_engine,9
16,vt_transmission,35,vt_engine,9
16,vt_transmission,2,vt_engine,9
16,vt_transmission,12,vt_engine,9
16,vt_transmission,38,vt_engine,9
17,vt_transmission,11,vt_engine,5
18,vt_transmission,4,vt_engine,6
18,vt_transmission,16,vt_engine,6
18,vt_transmission,32,vt_engine,6
18,vt_transmission,35,vt_engine,6
18,vt_transmission,2,vt_engine,6
19,vt_transmission,4,vt_engine,6
19,vt_transmission,14,vt_engine,6
19,vt_transmission,2,vt_engine,6
19,vt_transmission,6,vt_engine,6
20,vt_transmission,4,vt_engine,8
20,vt_transmission,29,vt_engine,8
20,vt_transmission,35,vt_engine,8
20,vt_transmission,33,vt_engine,8
20,vt_transmission,6,vt_engine,8
20,vt_transmission,37,vt_engine,8
21,vt_transmission,15,vt_engine,9
21,vt_transmission,14,vt_engine,9
