start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
1,vt_car,12,vt_engine,21.29,424
2,vt_car,53,vt_engine,16.91,523
3,vt_car,50,vt_engine,22.01,411
4,vt_car,12,vt_engine,20.78,427
4,vt_car,17,vt_engine,16.69,533
5,vt_car,50,vt_engine,25.47,347
6,vt_car,33,vt_engine,20.54,436
7,vt_car,36,vt_engine,37.05,242
8,vt_car,48,vt_engine,19,469
9,vt_car,50,vt_engine,16.92,519
10,vt_car,33,vt_engine,24.31,367
10,vt_car,45,vt_engine,20.68,433
11,vt_car,33,vt_engine,26,341
12,vt_car,50,vt_engine,20.21,441
13,vt_car,4,vt_engine,34.98,254
14,vt_car,14,vt_engine,23.29,380.5
15,vt_car,33,vt_engine,27.44,322
16,vt_car,33,vt_engine,29.51,299
17,vt_car,61,vt_engine,19.79,449
18,vt_car,10,vt_engine,18.89,470
19,vt_car,16,vt_engine,15.52,585
20,vt_car,54,vt_engine,17.99,492
21,vt_car,12,vt_engine,18.7,475
21,vt_car,17,vt_engine,16.87,526
22,vt_car,48,vt_engine,21.59,408
23,vt_car,33,vt_engine,24.94,356
24,vt_car,33,vt_engine,22,404
24,vt_car,46,vt_engine,21.03,423
25,vt_car,33,vt_engine,26.91,327
26,vt_car,10,vt_engine,23.43,379
27,vt_car,50,vt_engine,20,443
28,vt_car,10,vt_engine,21,423
28,vt_car,22,vt_engine,19.56,452.5
29,vt_car,33,vt_engine,23.67,373
30,vt_car,14,vt_engine,22.48,394
31,vt_car,33,vt_engine,28.06,314
32,vt_car,14,vt_engine,25.92,341
33,vt_car,36,vt_engine,36.61,245
34,vt_car,50,vt_engine,26.34,335
35,vt_car,54,vt_engine,15.55,569
36,vt_car,12,vt_engine,17.34,529
36,vt_car,32,vt_engine,19.42,525
37,vt_car,52,vt_engine,15.68,562
38,vt_car,22,vt_engine,18.1,489.5
38,vt_car,34,vt_engine,24.77,359
39,vt_car,6,vt_engine,25.56,347
39,vt_car,4,vt_engine,22.17,404
40,vt_car,16,vt_engine,16.6,541.5
40,vt_car,19,vt_engine,15.82,561.5
40,vt_car,50,vt_engine,22,462
41,vt_car,49,vt_engine,17.14,516
42,vt_car,5,vt_engine,43,208
43,vt_car,44,vt_engine,21.98,404
44,vt_car,53,vt_engine,14.99,586
45,vt_car,6,vt_engine,39,225
46,vt_car,50,vt_engine,21.86,406
47,vt_car,33,vt_engine,20.51,430
48,vt_car,33,vt_engine,25.55,346
49,vt_car,40,vt_engine,25.93,345
50,vt_car,12,vt_engine,21.2,419
50,vt_car,33,vt_engine,23,386
51,vt_car,4,vt_engine,24.27,366
51,vt_car,40,vt_engine,23.75,377
52,vt_car,33,vt_engine,28.8,307
53,vt_car,4,vt_engine,28.28,314.5
54,vt_car,53,vt_engine,16.91,522
55,vt_car,12,vt_engine,20.05,443
55,vt_car,33,vt_engine,21.9,406
56,vt_car,50,vt_engine,23.43,377
57,vt_car,6,vt_engine,32.42,283
58,vt_car,47,vt_engine,15.55,573
59,vt_car,50,vt_engine,23.5,375
60,vt_car,12,vt_engine,18.9,471
61,vt_car,29,vt_engine,31.67,278.5
62,vt_car,16,vt_engine,15.91,559.5
63,vt_car,34,vt_engine,22.68,395.5
63,vt_car,50,vt_engine,20.14,444.5
64,vt_car,14,vt_engine,21.22,423
65,vt_car,35,vt_engine,26,338
66,vt_car,59,vt_engine,10.59,840
67,vt_car,48,vt_engine,20,441
68,vt_car,33,vt_engine,19.42,453
69,vt_car,5,vt_engine,33.06,269
70,vt_car,33,vt_engine,24.38,362.5
71,vt_car,52,vt_engine,15.75,560
72,vt_car,8,vt_engine,32.9,269
72,vt_car,6,vt_engine,33.05,267
73,vt_car,29,vt_engine,31,288
74,vt_car,4,vt_engine,23.5,378
74,vt_car,40,vt_engine,23.88,375
75,vt_car,28,vt_engine,18.45,481
76,vt_car,16,vt_engine,16.6,541.5
76,vt_car,19,vt_engine,15.82,561.5
76,vt_car,50,vt_engine,22,462
77,vt_car,20,vt_engine,17.23,517
78,vt_car,50,vt_engine,20.92,422
79,vt_car,50,vt_engine,26.42,333
80,vt_car,6,vt_engine,33.17,266
81,vt_car,6,vt_engine,31.35,287
82,vt_car,15,vt_engine,19.43,458
83,vt_car,14,vt_engine,21.77,407
84,vt_car,6,vt_engine,28.54,314
84,vt_car,36,vt_engine,27.03,331
85,vt_car,33,vt_engine,23.22,385.5
86,vt_car,50,vt_engine,20,443
87,vt_car,33,vt_engine,22.89,387
88,vt_car,4,vt_engine,28.09,318
89,vt_car,33,vt_engine,25.94,342
90,vt_car,33,vt_engine,26.82,330
91,vt_car,50,vt_engine,24.45,361
92,vt_car,50,vt_engine,24.61,360
93,vt_car,50,vt_engine,24.52,360
94,vt_car,47,vt_engine,14.13,632
95,vt_car,54,vt_engine,17.66,505
96,vt_car,37,vt_engine,25,357.5
97,vt_car,61,vt_engine,20.91,427
98,vt_car,16,vt_engine,17.53,507
98,vt_car,41,vt_engine,20.19,441
98,vt_car,50,vt_engine,26.29,387
99,vt_car,33,vt_engine,22.41,398
100,vt_car,8,vt_engine,30.25,292
101,vt_car,14,vt_engine,22.92,386
102,vt_car,14,vt_engine,21.99,407
103,vt_car,28,vt_engine,15.58,569
104,vt_car,25,vt_engine,19.43,455
105,vt_car,12,vt_engine,21.97,405
105,vt_car,33,vt_engine,25.33,358
106,vt_car,3,vt_engine,32.69,272
107,vt_car,53,vt_engine,17.68,505
108,vt_car,6,vt_engine,33.14,269
109,vt_car,4,vt_engine,36.03,246
110,vt_car,5,vt_engine,50,179
111,vt_car,61,vt_engine,22.35,399
112,vt_car,18,vt_engine,17.43,509
113,vt_car,33,vt_engine,29.06,305
114,vt_car,23,vt_engine,16.98,518
115,vt_car,22,vt_engine,19.7,451
116,vt_car,33,vt_engine,26.35,335
116,vt_car,50,vt_engine,24.45,361
117,vt_car,54,vt_engine,20.42,435
118,vt_car,33,vt_engine,25.55,346
119,vt_car,16,vt_engine,15.21,589.2
119,vt_car,19,vt_engine,15.03,592.5
119,vt_car,41,vt_engine,17,522
119,vt_car,50,vt_engine,21.07,479
120,vt_car,33,vt_engine,22.54,398
121,vt_car,6,vt_engine,32.04,275
122,vt_car,53,vt_engine,16.91,522
123,vt_car,4,vt_engine,39.78,224
124,vt_car,12,vt_engine,21.45,414
124,vt_car,17,vt_engine,16.92,525
125,vt_car,19,vt_engine,18.6,478
126,vt_car,4,vt_engine,28.61,310
127,vt_car,2,vt_engine,24.18,370
127,vt_car,13,vt_engine,22.19,400
127,vt_car,33,vt_engine,24.09,369
128,vt_car,12,vt_engine,21.41,415
129,vt_car,4,vt_engine,28,315
130,vt_car,33,vt_engine,26.65,332
131,vt_car,8,vt_engine,28.42,312.5
132,vt_car,14,vt_engine,22.29,411
133,vt_car,9,vt_engine,21.08,423
133,vt_car,14,vt_engine,20.65,431
134,vt_car,56,vt_engine,14.33,618
135,vt_car,35,vt_engine,27.56,323
136,vt_car,33,vt_engine,28.21,312
137,vt_car,14,vt_engine,24.88,358
138,vt_car,35,vt_engine,26.15,337
139,vt_car,33,vt_engine,23.53,375
140,vt_car,33,vt_engine,28.03,315.5
141,vt_car,16,vt_engine,15.23,589.75
141,vt_car,19,vt_engine,15.03,593
141,vt_car,41,vt_engine,17,522
141,vt_car,50,vt_engine,21.07,479
142,vt_car,47,vt_engine,21,420
143,vt_car,40,vt_engine,25.23,355
143,vt_car,45,vt_engine,20.49,437
144,vt_car,50,vt_engine,24.66,360
145,vt_car,33,vt_engine,26.09,339
146,vt_car,48,vt_engine,20.67,430
147,vt_car,54,vt_engine,16,555
148,vt_car,2,vt_engine,27.92,316
149,vt_car,8,vt_engine,55.7,158
150,vt_car,33,vt_engine,26.76,331
151,vt_car,5,vt_engine,32.52,275
152,vt_car,48,vt_engine,21.59,408
153,vt_car,33,vt_engine,24.79,358
153,vt_car,50,vt_engine,21.23,419
154,vt_car,50,vt_engine,22.1,403
155,vt_car,33,vt_engine,25.54,348
156,vt_car,33,vt_engine,21.78,406
156,vt_car,50,vt_engine,20.06,440
157,vt_car,54,vt_engine,17,520
158,vt_car,50,vt_engine,22.12,403
159,vt_car,33,vt_engine,23.05,384.5
160,vt_car,14,vt_engine,22.1,399
161,vt_car,14,vt_engine,22.93,385
162,vt_car,33,vt_engine,23.54,381.5
163,vt_car,6,vt_engine,29.76,301
163,vt_car,36,vt_engine,28.86,311
164,vt_car,50,vt_engine,19.38,453
165,vt_car,50,vt_engine,21.09,424
166,vt_car,4,vt_engine,40.54,220
167,vt_car,54,vt_engine,16.23,546
168,vt_car,12,vt_engine,19.62,450
169,vt_car,33,vt_engine,22.62,393
170,vt_car,1,vt_engine,36.24,243.5
171,vt_car,33,vt_engine,20.86,425
172,vt_car,12,vt_engine,21.97,405
172,vt_car,33,vt_engine,25.33,358
173,vt_car,50,vt_engine,20.39,445.5
174,vt_car,40,vt_engine,22.25,401
174,vt_car,47,vt_engine,19.98,448
175,vt_car,33,vt_engine,24.07,366
176,vt_car,50,vt_engine,20.26,436
177,vt_car,34,vt_engine,16.81,528.5
177,vt_car,46,vt_engine,16.79,529
178,vt_car,50,vt_engine,20.06,440
179,vt_car,33,vt_engine,25.51,348
179,vt_car,41,vt_engine,23.65,375
180,vt_car,33,vt_engine,26.82,331
180,vt_car,41,vt_engine,24.8,356
181,vt_car,54,vt_engine,18.33,484
182,vt_car,14,vt_engine,29.12,303
183,vt_car,33,vt_engine,27.91,317
184,vt_car,59,vt_engine,9.02,979
185,vt_car,33,vt_engine,24.76,356
186,vt_car,50,vt_engine,20,443
187,vt_car,50,vt_engine,17.81,495
188,vt_car,6,vt_engine,33.88,260
188,vt_car,35,vt_engine,33.87,262.67
189,vt_car,4,vt_engine,25.9,344
189,vt_car,40,vt_engine,24.54,365
190,vt_car,54,vt_engine,15.26,579
191,vt_car,36,vt_engine,37.73,238
192,vt_car,4,vt_engine,31.69,280
193,vt_car,28,vt_engine,18.09,491
194,vt_car,50,vt_engine,21,423
195,vt_car,33,vt_engine,24.47,360
196,vt_car,25,vt_engine,22.25,397
197,vt_car,50,vt_engine,24.52,360
198,vt_car,50,vt_engine,18.7,470
199,vt_car,51,vt_engine,18.71,472
200,vt_car,56,vt_engine,14.39,615
201,vt_car,10,vt_engine,25.84,342
202,vt_car,20,vt_engine,17.64,505
203,vt_car,20,vt_engine,15,593.5
204,vt_car,29,vt_engine,25.91,340
205,vt_car,54,vt_engine,15.49,571
206,vt_car,14,vt_engine,15.78,563
207,vt_car,14,vt_engine,21.26,432
208,vt_car,33,vt_engine,27.51,321
209,vt_car,50,vt_engine,24.01,368
210,vt_car,33,vt_engine,20.51,430
211,vt_car,26,vt_engine,15.45,569.5
212,vt_car,54,vt_engine,17.87,497
